EVENT_ID,CUSTOMER_ID,PRODUCT_ID,EVENT_TYPE,EVENT_DATE,DEVICE_TYPE,SESSION_ID,CREATED_AT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,923,view,2024-07-29,mobile,session_71343,2024-07-29 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
2,1,210,cart_remove,2024-12-13,tablet,session_96329,2024-12-13 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3721,194,728,search,2024-04-20,tablet,session_31666,2024-04-20 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3697,193,924,cart_add,2024-06-26,tablet,session_26492,2024-06-26 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3698,193,31,view,2024-09-18,mobile,session_72952,2024-09-18 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3699,193,18,wishlist_add,2024-03-11,desktop,session_52681,2024-03-11 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3700,193,143,search,2024-04-05,desktop,session_81266,2024-04-05 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3701,193,535,view,2024-01-05,desktop,session_13058,2024-01-05 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3702,193,790,wishlist_add,2023-12-20,tablet,session_71720,2023-12-20 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3703,193,652,cart_add,2024-09-05,desktop,session_77949,2024-09-05 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3704,193,566,purchase,2024-02-22,mobile,session_36654,2024-02-22 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3705,193,472,purchase,2024-08-04,mobile,session_19266,2024-08-04 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3706,193,277,search,2024-09-29,mobile,session_98979,2024-09-29 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3707,193,601,cart_add,2023-12-28,desktop,session_34375,2023-12-28 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3708,193,477,view,2024-05-14,tablet,session_77529,2024-05-14 00:00:00.000000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
