PRODUCT_ID,CATEGORY_ID,SUBCATEGORY_ID,PRODUCT_NAME,DESCRIPTION,BASE_PRICE,SALE_PRICE,STOCK_QUANTITY,WEIGHT_KG,IS_ACTIVE,CREATED_AT,BRAND,SKU,RATING,REVIEW_COUNT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,101,"Galloway, Cruz and Olson Fear","All this star bar say authority many. North mother stay similar condition.
Night whole health skin yard. Scene interest time me wrong century. Until western voice beautiful.",744.13,631.75,142,14.76,True,2023-01-29 00:00:00.000,"Marquez, Davidson and Salinas",SKU-81482,3.2,449,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
2,1,101,Ferguson-Jackson More,"Save assume factor. Rise sure space what phone stage.
Energy next break our cultural term certain. Dinner open current form billion positive. See part down seven talk southern left.",102.76,86.99,616,0.63,True,2023-01-21 00:00:00.000,Wilson LLC,SKU-81426,3.8,465,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
1000,3,302,Stone LLC Without,"Report face after. Address must rock everything cold.
From information common while issue evening. Prove PM student nice behind sit public left.",99.54,99.44,186,15.37,True,2023-01-16 00:00:00.000,"Williams, Salinas and Mcconnell",SKU-65552,4.0,1017,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
1,1,101,"Williams, Jordan and Alvarez Partner","Full hot give beautiful. Arrive book others machine young note put.
Same mean large. Save practice lot attention.",744.13,628.53,754,2.14,True,2025-09-06 16:28:57.858,Caldwell-Walker,SKU-81482,3.2,59,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
672,1,103,Kim-Hill Hotel,"Kitchen whose lay area first rich item. Thousand else miss some too fill anything.
Yes skill clearly late. Miss great try type section.",298.75,294.94,526,3.96,True,2025-08-24 16:28:57.858,"Watson, Kirby and Sampson",SKU-22387,4.2,24,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
659,3,304,Lee LLC Everything,"Line find quality top this I. Line concern exactly home industry. Pattern well attention part by fact lead.
Until theory partner exactly. American base give life very. Until space someone black.",897.02,852.91,587,13.37,True,2025-08-14 16:28:57.858,Tucker-Smith,SKU-67947,3.7,19,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
660,4,401,Jordan-Hart Statement,Thank so where realize say girl. Else today a sure understand national. Vote religious type true wrong.,148.03,121.88,25,8.09,True,2025-08-27 16:28:57.858,Chan-Smith,SKU-68454,3.7,45,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
661,1,105,Williams PLC Space,"Measure picture why. Degree seat other else.
Including determine mission rather. Suddenly the society. Official born hundred information.",644.9,583.82,800,18.72,True,2025-08-26 16:28:57.858,"Schaefer, Stewart and Obrien",SKU-12955,3.2,63,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
662,1,105,"Cisneros, Flores and Frazier Enough","Edge ok evening goal strong benefit. Bed as range service feeling senior point.
Away least new challenge fly sometimes of wrong. Break image wall daughter growth some.",400.48,345.83,619,10.28,False,2025-08-29 16:28:57.858,Contreras-Nelson,SKU-97394,3.7,24,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
663,4,403,Clark-Macdonald Prepare,Husband including share tree green language also. Last over show share picture beat. Return voice fill prepare. Seven growth together later when.,392.25,336.13,359,6.23,True,2025-09-13 16:28:57.858,Vazquez-Pacheco,SKU-83535,3.2,99,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
664,4,404,Riddle-Dixon However,"Success nearly change safe rather maintain crime. According last painting crime. Everyone event conference right.
Prevent personal public place such. Together receive seven watch new bed those high.",805.65,670.91,745,19.41,True,2025-09-04 16:28:57.858,"Joseph, Huang and Gill",SKU-64289,3.3,79,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
665,5,501,Williams-Rose Charge,"Risk high keep movement. Deal newspaper leg your city suffer.
Season task art. Benefit best when pretty. Most you cold suggest.",152.2,136.21,888,10.55,True,2025-09-04 16:28:57.858,Phillips Inc,SKU-87421,4.5,16,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
666,1,104,Wilson-Grant Bag,"Focus plant always morning there education. Activity just physical seem any and member.
Scientist new training whether fall statement class remain. High management morning source.",642.42,567.19,569,9.3,True,2025-09-05 16:28:57.858,Floyd Group,SKU-27947,3.4,54,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
